9s 4h	40.69%	24.70%	17.47%	13.31%	10.63%	8.80%	7.48%	6.50%	5.75%
9s 3s	43.26%	28.00%	21.05%	17.04%	14.43%	12.61%	11.27%	10.21%	9.39%
9s 3h	40.01%	24.10%	16.95%	12.88%	10.27%	8.48%	7.23%	6.26%	5.52%
9s 2s	42.44%	27.27%	20.46%	16.57%	14.07%	12.34%	11.04%	10.05%	9.23%
9s 2h	39.11%	23.28%	16.28%	12.35%	9.86%	8.18%	6.96%	6.07%	5.36%
8s 7s	47.93%	33.96%	26.80%	22.22%	19.10%	16.84%	15.17%	13.90%	12.87%
8s 7h	45.06%	30.58%	23.22%	18.57%	15.39%	13.16%	11.54%	10.29%	9.35%
8s 6s	46.27%	32.13%	25.11%	20.73%	17.78%	15.71%	14.17%	12.96%	12.03%
8s 6h	43.24%	28.62%	21.39%	16.94%	13.98%	11.92%	10.45%	9.32%	8.44%
8s 5s	44.54%	30.25%	23.36%	19.18%	16.39%	14.46%	13.01%	11.90%	11.01%
8s 5h	41.42%	26.59%	19.52%	15.25%	12.47%	10.57%	9.21%	8.17%	7.36%
8s 4s	42.71%	28.39%	21.66%	17.66%	15.00%	13.18%	11.83%	10.79%	9.96%
8s 4h	39.45%	24.57%	17.64%	13.59%	10.99%	9.20%	7.93%	6.99%	6.24%
8s 3s	40.86%	26.55%	19.99%	16.21%	13.78%	12.06%	10.81%	9.86%	9.06%
8s 3h	37.48%	22.58%	15.86%	12.04%	9.59%	8.00%	6.84%	5.96%	5.30%
8s 2s	40.27%	26.00%	19.56%	15.85%	13.46%	11.82%	10.60%	9.64%	8.89%
8s 2h	36.84%	22.00%	15.36%	11.62%	9.27%	7.69%	6.58%	5.74%	5.09%
7s 6s	45.36%	32.12%	25.24%	20.92%	18.02%	15.99%	14.49%	13.33%	12.39%
7s 6h	42.32%	28.62%	21.59%	17.19%	14.28%	12.28%	10.82%	9.74%	8.91%
7s 5s	43.69%	30.32%	23.62%	19.54%	16.84%	14.95%	13.56%	12.47%	11.58%
7s 5h	40.52%	26.71%	19.83%	15.69%	12.99%	11.15%	9.82%	8.84%	8.07%
7s 4s	41.84%	28.46%	21.94%	18.03%	15.49%	13.70%	12.41%	11.39%	10.58%
7s 4h	38.58%	24.70%	18.02%	14.04%	11.50%	9.81%	8.59%	7.67%	6.95%
7s 3s	40.00%	26.59%	20.24%	16.53%	14.13%	12.51%	11.26%	10.30%	9.51%
7s 3h	36.61%	22.68%	16.17%	12.43%	10.06%	8.47%	7.35%	6.52%	5.85%
7s 2s	38.16%	24.78%	18.63%	15.15%	12.93%	11.39%	10.26%	9.37%	8.65%
7s 2h	34.59%	20.71%	14.45%	10.91%	8.76%	7.30%	6.28%	5.53%	4.92%
6s 5s	43.13%	30.48%	23.88%	19.84%	17.19%	15.34%	13.97%	12.90%	12.01%
6s 5h	39.93%	26.87%	20.14%	16.04%	13.41%	11.59%	10.30%	9.31%	8.55%
6s 4s	41.32%	28.71%	22.33%	18.48%	16.02%	14.27%	13.04%	12.01%	11.20%
6s 4h	38.02%	24.97%	18.46%	14.56%	12.10%	10.48%	9.28%	8.39%	7.68%
6s 3s	39.52%	26.88%	20.66%	17.02%	14.68%	13.07%	11.90%	10.94%	10.18%
6s 3h	36.09%	22.97%	16.64%	12.99%	10.68%	9.15%	8.07%	7.24%	6.60%
6s 2s	37.67%	25.02%	19.02%	15.57%	13.38%	11.88%	10.77%	9.89%	9.15%
6s 2h	34.07%	20.98%	14.86%	11.40%	9.28%	7.85%	6.86%	6.11%	5.51%
5s 4s	41.46%	29.24%	22.87%	19.08%	16.61%	14.91%	13.62%	12.63%	11.77%
5s 4h	38.17%	25.56%	19.05%	15.19%	12.77%	11.13%	9.95%	9.06%	8.34%
5s 3s	39.70%	27.50%	21.33%	17.76%	15.49%	13.87%	12.71%	11.76%	10.98%
5s 3h	36.26%	23.68%	17.39%	13.78%	11.55%	10.04%	8.96%	8.13%	7.46%
5s 2s	37.86%	25.65%	19.71%	16.29%	14.17%	12.69%	11.58%	10.69%	9.95%
5s 2h	34.30%	21.69%	15.62%	12.20%	10.13%	8.77%	7.76%	6.99%	6.40%
4s 3s	38.66%	26.63%	20.58%	17.10%	14.88%	13.32%	12.20%	11.26%	10.48%
4s 3h	35.16%	22.78%	16.57%	13.07%	10.91%	9.44%	8.42%	7.62%	6.99%
4s 2s	36.83%	24.90%	19.07%	15.80%	13.75%	12.34%	11.27%	10.42%	9.70%
4s 2h	33.20%	20.89%	14.96%	11.67%	9.68%	8.39%	7.43%	6.72%	6.14%
3s 2s	36.00%	24.07%	18.34%	15.15%	13.19%	11.83%	10.80%	9.96%	9.27%
3s 2h	32.32%	19.99%	14.16%	10.99%	9.09%	7.84%	6.92%	6.23%	5.65%
